PC,MSE,MAE,R²
PC1,0.003273660646387694,0.032663377103077415,0.9753642821646998
PC2,0.0012342696597181578,0.01929003451891676,0.9705112142992411
PC3,0.001805259265755498,0.025966480177248952,0.931574531942485
PC4,0.0009409453270912579,0.020742404704920447,0.9608493890696165
PC5,0.0007195948195942318,0.017639974386335255,0.9565913794500769
PC6,0.00038454259573097115,0.010979408934545078,0.9591275298610258
PC7,0.0004663224508255738,0.012249078307274603,0.9272370444518603
PC8,0.00022690028614131755,0.009336183904190075,0.9590972547092134
PC9,0.00037867160738066775,0.011861949641791625,0.9293903932741968
PC10,0.00021318447511278448,0.009398387360075635,0.9560397968483954
PC11,0.00020983548215693844,0.008049000294122382,0.9525612459534496
PC12,0.0002664924973018692,0.009759099807663403,0.9293338631331624
