Agency,City,State,NTD ID,Organization Type,Reporter Type,UACE Code,UZA Name,Primary UZA Population,Agency VOMS,Mode,TOS,Mode VOMS,Diesel (gal),Diesel (gal) Questionable,Gasoline (gal),Gasoline (gal) Questionable,Liquefied Petroleum Gas (gal equivalent),Liquefied Petroleum Gas (gal equivalent) Questionable,Compressed Natural Gas (gal equivalent),Compressed Natural Gas (gal equivalent) Questionable,Bio-Diesel (gal),Bio-Diesel (gal) Questionable,Hydrogen (kg),Hydrogen (kg) Questionable,Other Fuel (gal/gal equivalent),Other Fuel (gal/gal equivalent) Questionable,Electric Propulsion (kWh),Electric Propulsion (kWh) Questionable,Electric Battery (kWh),Electric Battery (kWh) Questionable,Diesel (miles),Diesel Questionable,Gasoline (miles),Gasoline Questionable,Liquefied Petroleum Gas (miles),Liquefied Petroleum Gas Questionable,Compressed Natural Gas (miles),Compressed Natural Gas Questionable,Hydrogen (miles),Hydrogen Questionable,Other Fuel (miles),Other Fuel Questionable,Electric Propulsion (miles),Electric Propulsion Questionable,Electric Battery (miles),Electric Battery Questionable,Diesel (mpg),Diesel (mpg) Questionable,Gasoline (mpg),Gasoline (mpg) Questionable,Liquefied Petroleum Gas (mpg),Liquefied Petroleum Gas (mpg) Questionable,Compressed Natural Gas (mpg),Compressed Natural Gas (mpg) Questionable,Hydrogen (mpkg),Hydrogen (mpkg) Questionable,Other Fuel (mpg),Other Fuel (mpg) Questionable,Electric Propulsion (mi/kWh),Electric Propulsion (mi/kWh) Questionable,Electric Battery (mi/kWh),Electric Battery (mi/kWh) Questionable
MTA New York City Transit,Brooklyn,NY,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","10,019",CB,DO,443,"3,697,741",,0,,0,,0,,0,,0,,0,,0,,0,,"15,739,148",,0,,0,,0,,0,,0,,0,,0,,4.26,,,,,,,,,,,,,,,
MTA New York City Transit,Brooklyn,NY,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","10,019",MB,DO,"3,217","23,170,009",,0,,0,,"4,824,913",,0,,0,,0,,0,,"618,599",,"79,941,725",,0,,0,,"11,849,487",,0,,0,,0,,"123,529",,3.45,,,,,,,,,,,,,,0.20,
MTA New York City Transit,Brooklyn,NY,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","10,019",DR,PT,824,"19,738",,"3,570,980",,0,,0,,0,,0,,0,,0,,0,,"242,940",,"28,059,319",,0,,0,,0,,0,,0,,0,,12.31,,7.86,,,,,,,,,,,,,
MTA New York City Transit,Brooklyn,NY,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","10,019",RB,DO,125,"1,070,814",,0,,0,,0,,0,,0,,0,,0,,0,,"3,180,905",,0,,0,,0,,0,,0,,0,,0,,2.97,,,,,,,,,,,,,,,
MTA New York City Transit,Brooklyn,NY,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","10,019",HR,DO,"5,410",0,,0,,0,,0,,0,,0,,0,,"1,552,447,460",,0,,0,,0,,0,,0,,0,,0,,"351,844,250",,0,,,,,,,,,,,,,,0.23,,,
New Jersey Transit Corporation,Newark,NJ,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","3,289",LR,DO,15,0,,0,,0,,0,,0,,0,,0,,"6,936,448",,0,,0,,0,,0,,0,,0,,0,,"571,026",,0,,,,,,,,,,,,,,0.08,,,
New Jersey Transit Corporation,Newark,NJ,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","3,289",CR,DO,865,"14,018,352",,0,,0,,0,,0,,0,,0,,"344,775,043",,0,,"2,749,033",,0,,0,,0,,0,,"1,828,836",,"10,211,308",,0,,0.20,,,,,,,,,,,,0.03,,,
New Jersey Transit Corporation,Newark,NJ,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","3,289",YR,PT,16,"667,776",,0,,0,,0,,0,,0,,0,,0,,0,,"1,211,272",,0,,0,,0,,0,,0,,0,,0,,1.81,,,,,,,,,,,,,,,
New Jersey Transit Corporation,Newark,NJ,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","3,289",MB,PT,182,"1,887,499",,0,,0,,0,,0,,0,,0,,0,,0,,"8,189,868",,0,,0,,0,,0,,0,,0,,0,,4.34,,,,,,,,,,,,,,,
New Jersey Transit Corporation,Newark,NJ,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","3,289",LR,PT,42,0,,0,,0,,0,,0,,0,,0,,"29,105,137",,0,,0,,0,,0,,0,,0,,0,,"2,424,546",,0,,,,,,,,,,,,,,0.08,,,
