Agency,City,State,NTD ID,Organization Type,Reporter Type,UACE Code,UZA Name,Primary UZA Population,Agency VOMS,Mode,TOS,Mode VOMS,Fare Revenues per Unlinked Passenger Trip,Fare Revenues per Unlinked Passenger Trip Questionable,Fare Revenues per Total Operating Expense (Recovery Ratio),Fare Revenues per Total Operating Expense (Recovery Ratio) Questionable,Cost per Hour,Cost per Hour Questionable,Passengers per Vehicle Revenue Hour,Passengers per Hour Questionable,Cost per Passenger,Cost per Passenger Questionable,Cost per Passenger Mile,Cost per Passenger Mile Questionable,Fare Revenues Earned,Fare Revenues Earned Questionable,Total Operating Expenses,Total Operating Expenses Questionable,Unlinked Passenger Trips,Unlinked Passenger Trips Questionable,Vehicle Revenue Hours,Vehicle Revenue Hours Questionable,Passenger Miles,Passenger Miles Questionable,Vehicle Revenue Miles,Vehicle Revenue Miles Questionable
MTA New York City Transit,Brooklyn,NY,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","10,019",DR,PT,824,1.90,,0.01,,225.56,,1,,188.00,,19.15,,"4,728,186",,"467,111,823",,"2,484,579",,"2,070,897",,"24,395,099",,"22,151,691",
MTA New York City Transit,Brooklyn,NY,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","10,019",HR,DO,"5,410",1.30,,0.43,,256.60,,86,,2.99,,0.76,,"2,326,782,567",,"5,349,756,161",,"1,788,363,060",,"20,848,895",,"7,055,402,031",,"338,199,451",
MTA New York City Transit,Brooklyn,NY,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","10,019",CB,DO,443,6.18,,0.19,,441.67,,14,,32.44,,2.17,,"49,729,810",,"260,991,861",,"8,045,660",,"590,916",,"120,130,708",,"9,484,995",
MTA New York City Transit,Brooklyn,NY,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","10,019",MB,DO,"3,217",1.20,,0.19,,245.05,,39,,6.32,,2.66,,"552,000,888",,"2,897,009,660",,"458,602,306",,"11,822,039",,"1,088,139,630",,"82,638,609",
MTA New York City Transit,Brooklyn,NY,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","10,019",RB,DO,125,1.19,,0.19,,229.19,,37,,6.27,,3.36,,"19,891,924",,"104,396,745",,"16,646,754",,"455,509",,"31,036,519",,"3,008,832",
New Jersey Transit Corporation,Newark,NJ,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","3,289",CR,DO,865,6.94,,0.22,,706.35,,22,,31.73,,1.11,,"277,787,790",,"1,270,807,775",,"40,054,391",,"1,799,117",,"1,145,563,899",,"59,140,432",
New Jersey Transit Corporation,Newark,NJ,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","3,289",VP,PT,50,4.21,,0.22,,143.31,,8,,18.99,,0.51,,"700,245",,"3,158,657",,"166,362",,"22,040",,"6,253,529",,"916,381",
New Jersey Transit Corporation,Newark,NJ,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","3,289",LR,PT,42,0.65,,0.07,,780.42,,85,,9.20,,2.24,,"7,023,343",,"99,296,195",,"10,793,219",,"127,235",,"44,271,738",,"2,087,932",
New Jersey Transit Corporation,Newark,NJ,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","3,289",DR,PT,340,1.99,,0.02,,134.88,,2,,84.74,,13.00,,"2,642,963",,"112,424,650",,"1,326,652",,"833,500",,"8,649,765",,"13,683,433",
New Jersey Transit Corporation,Newark,NJ,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","3,289",MB,PT,182,0.73,,0.08,,114.14,,13,,8.76,,2.05,,"5,256,783",,"63,462,415",,"7,247,926",,"555,983",,"31,025,429",,"6,782,440",
