Agency,City,State,NTD ID,Organization Type,Reporter Type,UACE Code,UZA Name,Primary UZA Population,Agency VOMS,Maintenance Facility (Service and Inspection),Heavy Maintenance & Overhaul (Backshop),General Purpose Maintenance Facility/Depot,Vehicle Washing Facility,Vehicle Blow-Down Facility,Vehicle Fueling Facility,Vehicle Testing Facility,Maintenance Facilities,Administrative Office / Sales Office,Revenue Collection Facility,Combined Administrative and Maintenance Facility,"Other, Administrative & Maintenance",Administrative and Other Non-Passenger Facilities,Bus Transfer Center,Elevated Fixed Guideway Station,At-Grade Fixed Guideway Station,Underground Fixed Guideway Station,Simple At-Grade Platform Station,Exclusive Grade-Separated Platform Station,Ferryboat Terminal,Passenger Stations and Terminals,Surface Parking Lot,Parking Structure,"Other, Passenger or Parking",Parking and Other Passenger Facilities,Total Facilities
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,80389,"Seattle--Tacoma, WA","3,544,011","2,029",12,1,6,2,0,8,0,29,8,1,0,34,43,15,4,3,7,25,4,3,61,101,17,0,118,251
Spokane Transit Authority,Spokane,WA,00002,Independent Public Agency or Authority of Transit Service,Full Reporter,83764,"Spokane, WA","447,279",279,0,0,2,0,0,0,0,2,1,0,2,1,4,1,0,0,0,0,0,0,1,1,0,11,12,19
Pierce County Transportation Benefit Area Authority,Lakewood,WA,00003,Independent Public Agency or Authority of Transit Service,Full Reporter,80389,"Seattle--Tacoma, WA","3,544,011",382,1,0,0,1,0,1,0,3,4,0,0,0,4,8,0,0,0,0,0,0,8,4,1,0,5,20
"City of Everett, dba: EVERETT TRANSIT",Everett,WA,00005,"City, County or Local Government Unit or Department of Transportation",Full Reporter,80389,"Seattle--Tacoma, WA","3,544,011",42,1,0,1,0,0,0,0,2,1,0,0,2,3,3,0,0,0,0,0,0,3,1,0,0,1,9
"City of Yakima, dba: Yakima Transit",Yakima,WA,00006,"City, County or Local Government Unit or Department of Transportation",Full Reporter,97507,"Yakima, WA","133,145",44,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Lane Transit District,Eugene,OR,00007,Independent Public Agency or Authority of Transit Service,Full Reporter,28117,"Eugene, OR","270,179",120,1,0,0,2,0,1,0,4,4,0,1,2,7,3,0,0,0,0,0,0,3,4,0,0,4,18
Tri-County Metropolitan Transportation District of Oregon,Portland,OR,00008,Independent Public Agency or Authority of Transit Service,Full Reporter,71317,"Portland, OR--WA","2,104,238",753,0,6,4,2,0,3,0,15,2,0,1,20,23,3,1,44,1,0,54,0,103,57,6,23,86,227
Valley Regional Transit,Meridian,ID,00011,Independent Public Agency or Authority of Transit Service,Full Reporter,8785,"Boise City, ID","433,180",70,1,0,0,0,0,0,0,1,1,0,0,1,2,1,0,0,0,0,0,0,1,0,0,0,0,4
"Municipality of Anchorage, dba: Public Transportation",Anchorage,AK,00012,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2305,"Anchorage, AK","249,252",168,1,0,1,0,0,0,0,2,2,0,0,1,3,1,0,0,0,0,0,0,1,0,0,0,0,6
RiverCities Transit,Longview,WA,00016,"City, County or Local Government Unit or Department of Transportation",Full Reporter,51283,"Longview, WA--OR","69,841",21,0,0,1,1,0,1,0,3,0,0,0,1,1,2,0,0,0,0,0,0,2,1,0,0,1,7
Ben Franklin Transit,Richland,WA,00018,Independent Public Agency or Authority of Transit Service,Full Reporter,44479,"Kennewick--Richland--Pasco, WA","255,401",268,1,0,0,1,0,1,0,3,3,0,0,0,3,4,0,0,0,0,0,0,4,2,0,0,2,12
