Agency,NTD ID,Total Hours,Total Operating Hours,Total Employees,Total Salaries,AvgWageRate,Questionable Record,count_vehicle_operations_hours_q,count_vehicle_maintenance_hours_q,count_facility_maintenance_hours_q,count_general_administration_hours_q,count_capital_labor_hours_q,count_total_employee_hours_q,count_vehicle_operations_count_q,count_vehicle_maintenance_count_q,count_facility_maintenance_count_q,count_general_administration_count_q,count_capital_labor_count_q,count_total_employee_count_q,City,State,UZA Name,Primary UZA Population,Agency VOMS,Mode VOMS
MTA New York City Transit,20008,"89,646,297","79,401,206","45,802","3,363,016,755",42.35,Y,0,0,0,0,0,0,0,0,0,0,0,0,Brooklyn,NY,"New York--Jersey City--Newark, NY--NJ","19,426,449","10,019","5,410"
New Jersey Transit Corporation,20080,"22,089,474","21,149,972","11,452","845,558,032",39.98,Y,0,0,0,0,0,0,0,0,0,0,0,0,Newark,NJ,"New York--Jersey City--Newark, NY--NJ","19,426,449","3,289","1,779"
Washington Metropolitan Area Transit Authority,30030,"21,813,449","18,010,252","13,214.21","928,193,315",51.54,Y,0,0,0,0,0,0,0,0,0,0,0,0,Washington,DC,"Washington--Arlington, DC--VA--MD","5,174,759","2,807","1,096"
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",90154,"17,905,536","17,905,536","10,192","615,085,059",34.35,Y,0,0,0,0,0,0,0,0,0,0,0,0,Los Angeles,CA,"Los Angeles--Long Beach--Anaheim, CA","12,237,376","2,509","1,421"
Chicago Transit Authority,50066,"18,534,134","16,960,103","9,790","627,749,519",37.01,Y,0,0,0,0,0,0,0,0,0,0,0,0,Chicago,IL,"Chicago, IL--IN","8,671,746","2,180","1,274"
Southeastern Pennsylvania Transportation Authority,30019,"17,645,768","16,150,639","8,954","568,457,208",35.20,Y,0,0,0,0,0,0,0,0,0,0,0,0,Philadelphia,PA,"Philadelphia, PA--NJ--DE--MD","5,696,125","1,962","1,089"
Massachusetts Bay Transportation Authority,10003,"13,908,645","13,781,263","7,077","458,429,864",33.26,Y,1,1,1,1,1,3,0,0,1,1,0,1,Boston,MA,"Boston, MA--NH","4,382,009","2,018",653
"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",20078,"13,792,105","12,999,670","6,409","498,649,719",38.36,Y,0,0,0,0,0,0,0,0,0,0,0,0,New York,NY,"New York--Jersey City--Newark, NY--NJ","19,426,449","1,149","1,138"
MTA Long Island Rail Road,20100,"15,182,811","12,570,926","7,535","614,280,138",48.87,Y,0,0,0,0,0,0,0,0,0,0,0,0,Jamaica,NY,"New York--Jersey City--Newark, NY--NJ","19,426,449",908,908
MTA Bus Company,20188,"7,892,430","7,869,894","3,943","319,478,627",40.60,Y,0,0,0,0,0,0,0,0,0,0,0,0,New York,NY,"New York--Jersey City--Newark, NY--NJ","19,426,449","1,134","1,134"
Metropolitan Atlanta Rapid Transit Authority,40022,"7,767,534","7,520,724","4,204","214,043,125",28.46,Y,0,0,0,0,0,0,0,0,0,0,0,0,Atlanta,GA,"Atlanta, GA","5,100,112",812,407
"City and County of San Francisco, dba: San Francisco Municipal Transportation Agency",90015,"7,297,632","7,297,632","4,282.08","363,556,465",49.82,Y,0,0,0,0,0,0,0,0,0,0,0,0,San Francisco,CA,"San Francisco--Oakland, CA","3,515,933",752,349
"King County Department of Metro Transit, dba: King County Metro",00001,"7,525,521","7,296,493","4,036.58","308,414,705",42.27,Y,0,0,0,0,0,0,0,0,0,0,0,0,Seattle,WA,"Seattle--Tacoma, WA","3,544,011","2,029",793
"Metropolitan Transit Authority of Harris County, Texas",60008,"6,851,596","6,809,475","3,713.46","230,768,219",33.89,Y,0,0,0,0,0,0,0,0,0,0,0,0,Houston,TX,"Houston, TX","5,853,575","1,328",450
