NTD ID,Agency,City,State,Organization Type,Reporter Type,UACE Code,UZA Name,Primary UZA Population,Agency VOMS,Diesel (gal),Gasoline (gal),Liquefied Petroleum Gas (gal),Compressed Natural Gas (gal),Bio Diesel (gal),Hydrogen (kg),Other Fuel (gal/gal equivalent),Electric Propulsion (kWh),Electric Battery (kWh),Diesel (miles),Gasoline (miles),Liquefied Petroleum Gas (miles),Compressed Natural Gas (miles),Hydrogen (miles),Other Fuel (miles),Electric Propulsion (miles),Electric Battery (miles),diesel_gal_questionable,diesel_mpg_questionable,questionable_data
30054,Centre Area Transportation Authority,State College,PA,Independent Public Agency or Authority of Transit Service,Full Reporter,84493,"State College, PA","83,674",88,0,"50,827",0,"452,565",0,0,0,0,0,0,"586,428",0,"1,943,679",0,0,0,0,0,0,
60014,"City of Brownsville , dba: Brownsville Metro",Brownsville,TX,"City, County or Local Government Unit or Department of Transportation",Full Reporter,10972,"Brownsville, TX","216,444",24,"191,613","33,274",0,0,0,0,0,0,0,"754,018","204,882",0,0,0,0,0,0,0,0,
40147,North Carolina State University,Raleigh,NC,University,Full Reporter,73261,"Raleigh, NC","1,106,646",30,"148,388",0,0,0,0,0,0,0,0,"573,706",0,0,0,0,0,0,0,0,0,
50057,Rock Island County Metropolitan Mass Transit District,Moline,IL,Independent Public Agency or Authority of Transit Service,Full Reporter,22366,"Davenport, IA--IL","285,211",62,"35,920","47,779",0,"523,332","9,284",0,0,0,"192,714","13,584","380,436",0,"2,108,318",0,0,0,"90,273",0,0,
10048,"Connecticut Department of Transportation - CTTRANSIT - Hartford Division, dba: CTTransit",Hartford,CT,State Government Unit or Department of Transportation,Full Reporter,37243,"Hartford, CT","977,158",229,"2,282,756",0,0,0,0,0,0,0,0,"11,322,761",0,0,0,0,0,0,0,0,0,
40138,"Gwinnett County Board of Commissioners, dba: Ride Gwinnett",Lawrenceville,GA,"City, County or Local Government Unit or Department of Transportation",Full Reporter,3817,"Atlanta, GA","5,100,112",54,"548,850","40,392",0,0,0,0,0,0,0,"2,767,433","234,849",0,0,0,0,0,0,0,0,
20122,"Academy Lines, Inc.",Hoboken,NJ,Private-For-Profit Corporation,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449",134,"668,954",0,0,0,0,0,0,0,0,"3,177,531",0,0,0,0,0,0,0,0,0,
30091,"Town of Blacksburg, dba: Blacksburg Transit",Blacksburg,VA,"City, County or Local Government Unit or Department of Transportation",Full Reporter,8002,"Blacksburg--Christiansburg, VA","72,400",41,"243,455","20,281",0,0,0,0,0,0,"119,732","1,036,089","153,301",0,0,0,0,0,"57,847",0,0,
50092,"City of Rochester, Minnesota, dba: Rochester Public Transit",Rochester,MN,"City, County or Local Government Unit or Department of Transportation",Full Reporter,75637,"Rochester, MN","121,587",60,0,"21,886",0,0,"313,685",0,0,0,"3,563","924,218","920,019",0,0,0,0,0,"19,568",0,0,
34,Rogue Valley Transportation District,Medford,OR,Independent Public Agency or Authority of Transit Service,Full Reporter,55981,"Medford, OR","171,640",45,"30,614","34,453",0,"231,869",0,0,0,0,0,"184,082","443,928",0,"1,059,245",0,0,0,0,0,0,
