NTD ID,Agency,Reporter Type,Organization Type,City,State,Agency VOMS,Mode,Type Of Service,Mode VOMS,UACE Code,UZA Name,Primary UZA Area Sq Miles,Primary  UZA Population,Service Area Sq Miles,Service Area Population,Questionable Data,Time Period,Time Service Begins,Time Service Ends,Actual Vehicle/Passenger Car Miles,Actual Vehicle/Passenger Car Revenue Miles,Actual Vehicle/ Passenger Deadhead Miles,Scheduled Vehicle/Passenger Car Revenue Miles,Actual Vehicles/ Passenger Car Hours,Actual Vehicle/Passenger Car Revenue Hours,Actual Vehicle/Passenger Car Deadhead Hours,Charter Service Hours,School Bus Hours,Trains In Operation,Train Miles,Train Revenue Miles,Train Deadhead Miles,Train Hours,Train Revenue Hours,Train Deadhead Hours,Unlinked Passenger Trips (UPT),ADA UPT,Sponsored Service UPT,Passenger Miles Traveled,Directional Route Miles,Days Of Service Operated,Days Not Operated - Strikes,Days Not Operated - Emergencies,Average Revenue Speed,Average Passenger Trip Length (APTL),Passengers per Vehicle Revenue Hour
00001,"King County Department of Metro Transit, dba: King County Metro",Full Reporter,"City, County or Local Government Unit or Department of Transportation",Seattle,WA,"2,029",DR,PT,217,"80,389","Seattle--Tacoma, WA",982.52,"3,544,011","2,134","2,287,050",,Annual Total,,,"6,456,147","4,968,632","1,487,515",0,"533,754","406,246","127,508",0,0,0,0,0,,0,0,,"555,210","555,210",0,"5,546,871",0,,,,12.2306,9.9906,1.3667
00001,"King County Department of Metro Transit, dba: King County Metro",Full Reporter,"City, County or Local Government Unit or Department of Transportation",Seattle,WA,"2,029",VP,DO,745,"80,389","Seattle--Tacoma, WA",982.52,"3,544,011","2,134","2,287,050",,Annual Total,,,"4,413,910","4,413,910",0,0,"140,750","140,750",0,,,0,0,0,,0,0,,"702,709",,,"14,389,243",0,,,,31.3599,20.4768,4.9926
00001,"King County Department of Metro Transit, dba: King County Metro",Full Reporter,"City, County or Local Government Unit or Department of Transportation",Seattle,WA,"2,029",TB,DO,117,"80,389","Seattle--Tacoma, WA",982.52,"3,544,011","2,134","2,287,050",,Annual Total,,,"2,812,243","2,635,705","176,538","2,901,988","417,625","392,391","25,234",17,0,0,0,0,,0,0,,"9,575,042",,,"17,545,751",233.72,,,,6.717,1.8324,24.4018
00001,"King County Department of Metro Transit, dba: King County Metro",Full Reporter,"City, County or Local Government Unit or Department of Transportation",Seattle,WA,"2,029",SR,DO,10,"80,389","Seattle--Tacoma, WA",982.52,"3,544,011","2,134","2,287,050",,Annual Total,,,"186,566","180,369","6,197","191,048","38,924","37,349","1,575",,,0,"186,566","180,369","6,197","38,924","37,349","1,575","1,117,605",,,"1,269,696",15.7,0,0,0,4.8293,1.1361,29.9233
00001,"King County Department of Metro Transit, dba: King County Metro",Full Reporter,"City, County or Local Government Unit or Department of Transportation",Seattle,WA,"2,029",MB,PT,51,"80,389","Seattle--Tacoma, WA",982.52,"3,544,011","2,134","2,287,050",,Annual Total,,,"1,064,430","907,697","156,733","921,467","90,318","83,548","6,770",0,0,0,0,0,,0,0,,"480,077",,,"1,841,319",0,,,,10.8644,3.8355,5.7461
00001,"King County Department of Metro Transit, dba: King County Metro",Full Reporter,"City, County or Local Government Unit or Department of Transportation",Seattle,WA,"2,029",MB,DO,793,"80,389","Seattle--Tacoma, WA",982.52,"3,544,011","2,134","2,287,050",,Annual Total,,,"36,030,883","29,908,625","6,122,258","31,506,181","3,127,832","2,781,612","346,220",320,,0,0,0,,0,0,,"53,503,564",,,"211,617,698",552.1,,,,10.7523,3.9552,19.2347
00001,"King County Department of Metro Transit, dba: King County Metro",Full Reporter,"City, County or Local Government Unit or Department of Transportation",Seattle,WA,"2,029",FB,DO,2,"80,389","Seattle--Tacoma, WA",982.52,"3,544,011","2,134","2,287,050",,Annual Total,,,"51,236","51,236",0,"52,464","5,848","5,848",0,0,,0,0,0,,0,0,,"400,407",,,"1,361,870",48,,,,8.7613,3.4012,68.469
00001,"King County Department of Metro Transit, dba: King County Metro",Full Reporter,"City, County or Local Government Unit or Department of Transportation",Seattle,WA,"2,029",DR,TX,94,"80,389","Seattle--Tacoma, WA",982.52,"3,544,011","2,134","2,287,050",,Annual Total,,,0,"1,461,592",0,0,0,"54,293",0,,,0,0,0,,0,0,,"110,794","110,794",0,"1,612,286",0,,,,26.9205,14.5521,2.0407
00002,Spokane Transit Authority,Full Reporter,Independent Public Agency or Authority of Transit Service,Spokane,WA,279,MB,DO,127,"83,764","Spokane, WA",171.67,"447,279",248,"459,007",,Annual Total,,,"7,121,780","6,485,325","636,455","6,511,561","494,393","465,683","28,710",0,0,0,0,0,,0,0,,"6,595,319",,,"28,155,245",0,,,,13.9265,4.269,14.1627
00002,Spokane Transit Authority,Full Reporter,Independent Public Agency or Authority of Transit Service,Spokane,WA,279,VP,DO,73,"83,764","Spokane, WA",171.67,"447,279",248,"459,007",,Annual Total,,,"905,990","905,990",0,0,"25,973","25,973",0,0,0,0,0,0,,0,0,,"90,576",,,"2,683,580",0,,,,34.882,29.6279,3.4873
00002,Spokane Transit Authority,Full Reporter,Independent Public Agency or Authority of Transit Service,Spokane,WA,279,DR,PT,32,"83,764","Spokane, WA",171.67,"447,279",248,"459,007",,Annual Total,,,"1,071,806","945,068","126,738",0,"67,595","60,719","6,876",,,0,0,0,,0,0,,"142,612","141,883",0,"1,214,452",0,,,,15.5646,8.5158,2.3487
00002,Spokane Transit Authority,Full Reporter,Independent Public Agency or Authority of Transit Service,Spokane,WA,279,DR,DO,47,"83,764","Spokane, WA",171.67,"447,279",248,"459,007",,Annual Total,,,"1,196,574","1,073,683","122,891",0,"74,170","68,563","5,607",,,0,0,0,,0,0,,"167,404","166,381",,"1,335,191",0,,,,15.6598,7.9759,2.4416
00003,Pierce County Transportation Benefit Area Authority,Full Reporter,Independent Public Agency or Authority of Transit Service,Lakewood,WA,382,MB,DO,91,"80,389","Seattle--Tacoma, WA",982.52,"3,544,011",292,"575,963",Y,Annual Total,,,"4,830,956","4,227,441","603,515","4,186,772","411,819","375,022","36,797",,,0,0,0,,0,0,,"4,950,296",,,"20,994,349",33.88,,,,11.2725,4.241,13.2
00003,Pierce County Transportation Benefit Area Authority,Full Reporter,Independent Public Agency or Authority of Transit Service,Lakewood,WA,382,VP,DO,214,"80,389","Seattle--Tacoma, WA",982.52,"3,544,011",292,"575,963",,Annual Total,,,"3,028,154","3,028,154",0,0,"85,983","85,983",0,,,0,0,0,,0,0,,"382,751",,,"11,193,468",0,,,,35.2181,29.2448,4.4515
