service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
RK2024-801-3_Sunday-90,0,0,0,0,0,0,1,20241103,20241103
RK2024-801-1_Weekday-90,1,1,1,1,1,0,0,20241104,20241108
RK2024-801-2_Saturday-90,0,0,0,0,0,1,0,20241109,20241109
RJUN24-801-2_Saturday-19,0,0,0,0,0,1,0,20241026,20241026
RJUN24-801-3_Sunday-90,0,0,0,0,0,0,1,20241027,20241027
RJUN24-801-1_Weekday-51,1,1,1,1,1,0,0,20241028,20241028
RJUN24-801-1_Weekday-30,1,1,1,1,1,0,0,20241029,20241031
RJUN24-801-1_Weekday-31,1,1,1,1,1,0,0,20241030,20241030
RJUN24-801-1_Weekday-90,1,1,1,1,1,0,0,20241101,20241101
RJUN24-801-2_Saturday-90,0,0,0,0,0,1,0,20241102,20241102
RK2024-802-3_Sunday-90,0,0,0,0,0,0,1,20241103,20241103
RK2024-802-1_Weekday-90,1,1,1,1,1,0,0,20241104,20241108
RK2024-802-2_Saturday-90,0,0,0,0,0,1,0,20241109,20241109
RJUN24-802-2_Saturday-60,0,0,0,0,0,1,0,20241026,20241026
RJUN24-802-3_Sunday-22,0,0,0,0,0,0,1,20241027,20241027
RJUN24-802-1_Weekday-23,1,1,1,1,1,0,0,20241028,20241029
RJUN24-802-1_Weekday-13,1,1,1,1,1,0,0,20241030,20241031
RJUN24-802-1_Weekday-57,1,1,1,1,1,0,0,20241101,20241101
RJUN24-802-2_Saturday-61,0,0,0,0,0,1,0,20241102,20241102
RJUN24-803-2_Saturday-09,0,0,0,0,0,1,0,20241026,20241102
RJUN24-803-3_Sunday-09,0,0,0,0,0,0,1,20241027,20241027
RJUN24-803-1_Weekday-14,1,1,1,1,1,0,0,20241028,20241101
RK2024-803-3_Sunday-91,0,0,0,0,0,0,1,20241103,20241103
RK2024-803-1_Weekday-91,1,1,1,1,1,0,0,20241104,20241108
RK2024-803-2_Saturday-91,0,0,0,0,0,1,0,20241109,20241109
RK2024-804-3_Sunday-90,0,0,0,0,0,0,1,20241103,20241103
RK2024-804-1_Weekday-90,1,1,1,1,1,0,0,20241104,20241108
RK2024-804-2_Saturday-90,0,0,0,0,0,1,0,20241109,20241109
RJUN24-804-2_Saturday-14,0,0,0,0,0,1,0,20241026,20241026
RJUN24-804-3_Sunday-20,0,0,0,0,0,0,1,20241027,20241027
RJUN24-804-1_Weekday-25,1,1,1,1,1,0,0,20241028,20241028
RJUN24-804-1_Weekday-90,1,1,1,1,1,0,0,20241029,20241101
RJUN24-804-2_Saturday-90,0,0,0,0,0,1,0,20241102,20241102
RJUN24-807-2_Saturday-90,0,0,0,0,0,1,0,20241026,20241102
RJUN24-807-3_Sunday-90,0,0,0,0,0,0,1,20241027,20241027
RJUN24-807-1_Weekday-90,1,1,1,1,1,0,0,20241028,20241101
