Agency,Number of Operating Fleets,Ridership,Service Area Population,Service Area Sq Miles,Primary UZA Area Sq Miles,Diesel (gal),Gasoline (gal),Liquefied Petroleum Gas (gal),Compressed Natural Gas (gal),Bio Diesel (gal),Other Fuel (gal/gal equivalent),Electric Propulsion (kWh),Electric Battery (kWh),Total Diesel (gal),Total kWh,NTD ID,City,State,UZA Name,Total Operating Hours,Total Employees
10-15 Regional Transit Agency,142,0,,,,,,,,,,,,,,,,,,,
A&C Bus Corporation & Montgomery & Westside Owners Association,27,0,258523.0,13.0,3248.12,,,,,,,,,,,,,,,,
ALTRAN Transit Authority,15,0,,,,,,,,,,,,,,,,,,,
"Aaron E. Henry Community Health Services Center,In",21,0,,,,,,,,,,,,,,,,,,,
"Academy Lines, Inc.",134,3065897,1455245.0,468.0,3248.12,668954.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,668954.0,0.0,20122.0,Hoboken,NJ,"New York--Jersey City--Newark, NY--NJ",,146.0
Access Johnson County,32,0,199332.0,1046.0,722.55,,,,,,,,,,,,,,,,
Access Services,1438,25196435,11638106.0,1621.0,1636.83,0.0,1561466.0,0.0,53117.0,0.0,0.0,0.0,0.0,1614583.0,0.0,,,,,,
Access Tusc,8,0,,,,,,,,,,,,,,,,,,,
"Accomack-Northhampton Transportation District Comm, dba: STAR Transit",16,0,,,,,,,,,,,,,,,,,,,
"Ada County Highway District, dba: ACHD Commuteride",81,1375843,652099.0,252.0,139.23,0.0,93089.0,0.0,0.0,0.0,0.0,0.0,0.0,93089.0,0.0,415.0,Boise,ID,"Boise City, ID",,6.7
"Adirondack Transit Lines, Inc,",13,1413758,9428015.0,10702.0,3248.12,217501.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217501.0,0.0,20177.0,Hurley,NY,"New York--Jersey City--Newark, NY--NJ",,73.0
Adrian Dial-A-Ride,6,0,,,,,,,,,,,,,,,,,,,
"Advance Transit, Inc. NH",58,0,,,,,,,,,,,,,,,,,,,
"Aiken Area Council on Aging, Inc.",23,0,,,65.69,,,,,,,,,,,,,,,,
Airport Corridor Transportation Association,2,0,64980.0,28.0,906.64,,,,,,,,,,,,,,,,
Alabama Tombigbee Regional Planning Commission,14,0,,,,,,,,,,,,,,,,,,,
Alamance County Transportation Authority,27,0,171415.0,435.0,92.02,,,,,,,,,,,,,,,,
Alameda-Contra Costa Transit District,2730,22028991,1586454.0,364.0,513.8,,,,,,,,,,,90014.0,Oakland,CA,"San Francisco--Oakland, CA",,
Alamo Area Council of Governments,45,1957943,534945.0,10185.0,50.43,0.0,258554.0,0.0,0.0,0.0,0.0,0.0,0.0,258554.0,0.0,60130.0,San Antonio,TX,"New Braunfels, TX",,62.27
Alaska Railroad Corporation,60,1142075,352701.0,266.0,91.69,863824.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,863824.0,0.0,41.0,Anchorage,AK,"Anchorage, AK",,307.5
Albemarle Regional Health Services,16,0,,,,,,,,,,,,,,,,,,,
Allegan County Transportation Services,23,0,,,,,,,,,,,,,,,,,,,
Allegany County,6,0,,,,,,,,,,,,,,,,,,,
Alleghany County,7,0,,,,,,,,,,,,,,,,,,,
Allen Council on Aging,9,0,,,,,,,,,,,,,,,,,,,
"Allied Coordinated Transportation Services, Inc.",24,0,,,,,,,,,,,,,,,,,,,
Alma-Dial-A-Ride,15,0,,,,,,,,,,,,,,,,,,,
Alpine County Local Transportation Commission,1,0,,,,,,,,,,,,,,,,,,,
Altamont Corridor Express,27,901469,4393972.0,28.0,92.46,480481.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480481.0,0.0,,,,,,
Alternativa de Transporte Integrado -ATI,171,2982384,701366.0,149.0,763.6,288655.0,0.0,0.0,0.0,0.0,0.0,5373722.0,0.0,288655.0,5373722.0,,,,,,
"Altoona Metro Transit, dba: AMTRAN",99,572910,69608.0,25.0,37.01,5240.0,7274.0,0.0,165175.0,0.0,0.0,0.0,0.0,177689.0,0.0,30011.0,Altoona,PA,"Altoona, PA",,47.0
Amador Regional Transit System,51,0,,,,,,,,,,,,,,,,,,,
American Samoa Government Dept. of Public Works,9,0,,,,,,,,,,,,,,,,,,,
"Ames Transit Agency, dba: CyRide",116,1341838,54445.0,15.0,22.36,312219.0,13015.0,0.0,0.0,24697.0,0.0,0.0,0.0,349931.0,0.0,70041.0,Ames,IA,"Ames, IA",,205.4
Anaheim Transportation Network,94,1097377,358000.0,50.0,1636.83,,,,,,,,,,,,,,,,
Anderson County Council on Aging,2,0,,,,,,,,,,,,,,,,,,,
Ann Arbor Area Transportation Authority,1135,6695972,258829.0,130.0,143.45,816866.0,128293.0,0.0,0.0,0.0,0.0,0.0,0.0,945159.0,0.0,50040.0,Ann Arbor,MI,"Ann Arbor, MI",,281.0
Anne Arundel County,62,1663498,564000.0,398.0,654.93,0.0,242387.0,0.0,0.0,0.0,0.0,0.0,0.0,242387.0,0.0,,,,,,
Anson County,8,0,,,,,,,,,,,,,,,,,,,
Antelope Valley Transit Authority,264,4243183,349050.0,1200.0,84.78,1992755.0,32178.0,0.0,0.0,0.0,0.0,0.0,7299840.0,2024933.0,7299840.0,,,,,,
Antrim County Transportation,16,0,,,,,,,,,,,,,,,,,,,
AppalCart,72,0,,,,,,,,,,,,,,,,,,,
"Archuleta County Transportation/Mountain Express Transit, dba: Mountain Express Transit",8,0,,,,,,,,,,,,,,,,,,,
"Area 10 Council on Aging of Monroe County, dba: Rural Transit",28,0,,,,,,,,,,,,,,,,,,,
"Area Agency on Aging of Southeast Arkansas, Inc. (SEAT), dba: Southeast Arkansas Transportation",117,0,,,,,,,,,,,,,,,,,,,
"Area Agency on Aging of Western Arkansas, Inc. (WTS), dba: Western Transit System",27,0,,,,,,,,,,,,,,,,,,,
"Area IV Agency on Aging and Community Action Programs , dba: Tippecanoe County Transit",5,0,,,,,,,,,,,,,,,,,,,
Area Referral & Informtn Services for the Elderly,5,0,,,,,,,,,,,,,,,,,,,
Area Transportation Authority of North Central PA,201,0,,,,,,,,,,,,,,,,,,,
Arenac County,8,0,,,,,,,,,,,,,,,,,,,
Ark-Tex Council of Governments,112,0,,,,,,,,,,,,,,,,,,,
"Arlington County, Virginia, dba: Arlington Transit",213,2225666,234200.0,26.0,1294.51,0.0,19229.0,0.0,725362.0,0.0,0.0,0.0,0.0,744591.0,0.0,,,,,,
Aroostook Band of Micmacs,1,0,,,0.0,,,,,,,,,,,,,,,,
"Aroostook Regional Transportation Systems, Inc.",19,0,,,,,,,,,,,,,,,,,,,
"Arrowhead Economic Opportunity Agency, Inc.",212,0,,,,,,,,,,,,,,,,,,,
Ashe County Transportation Authority Inc,30,0,,,,,,,,,,,,,,,,,,,
Ashland Public Transit,8,0,,,,,,,,,,,,,,,,,,,
Ashtabula County Transportation System,32,0,,,,,,,,,,,,,,,,,,,
Asotin County,39,0,21888.0,20.0,27.93,,,,,,,,,,,,,,,,
"Aspermont Small Business Development Center, Inc.",18,0,753363.0,878.0,,,,,,,,,,,,,,,,,
Assumption Parish Council on Aging,10,0,,,,,,,,,,,,,,,,,,,
Athens Transit,28,0,,,,,,,,,,,,,,,,,,,
"Athens-Clarke County Unified Government, dba: Athens-Clarke County Transit Department",38,849020,119980.0,44.0,91.85,182598.0,20549.0,0.0,0.0,0.0,0.0,0.0,0.0,203147.0,0.0,40047.0,Athens,GA,"Athens-Clarke County, GA",,80.3
Atlanta-Region Transit Link Authority,478,6238519,1354871.0,498.0,2553.04,566429.0,137352.0,0.0,0.0,0.0,0.0,0.0,0.0,703781.0,0.0,,,,,,
"Audubon Area Community Services, Inc.",44,1421213,216306.0,2693.0,36.4,,,,,,,,,,,41105.0,Owensboro,KY,"Owensboro, KY",,131.0
Augusta Richmond County Transit Department,38,613229,202081.0,25.0,273.29,,,,,,,,,,,,,,,,
"Autauga County Commission, dba: Autauga County Rural Transportation",13,0,35662.0,139.0,145.1,,,,,,,,,,,,,,,,
Autonomous Municipality of Ponce,54,0,79650.0,40.0,31.72,,,,,,,,,,,,,,,,
"Autonomous Municipality of Vega Alta, dba: Municipio Autonomo de Vega Alta",14,0,35806.0,28.0,763.6,,,,,,,,,,,,,,,,
Avera Creighton Hospital,5,0,,,,,,,,,,,,,,,,,,,
Avera St.Anthony's Hospital,3,0,,,,,,,,,,,,,,,,,,,
Avery County Transportation Authority,12,0,,,,,,,,,,,,,,,,,,,
Avoyelles Council on Aging,6,0,,,,,,,,,,,,,,,,,,,
"Bad River Band of Lake Superior Tribe of Chippewa, dba: Bad River Transit",2,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
Baker Council on Aging,48,0,,,,,,,,,,,,,,,,,,,
"Baldwin County Commission, dba: Baldwin Regional Area Transit System",30,1035386,218022.0,1590.0,59.07,0.0,134134.0,0.0,0.0,0.0,0.0,0.0,0.0,134134.0,0.0,40928.0,Bay Minette,AL,"Fairhope--Daphne, AL",,43.84
Baldwin County Transit,2,0,,,,,,,,,,,,,,,,,,,
Baltimore County Department of Public Works Transportation,50,0,,,654.93,,,,,,,,,,,,,,,,
Bamberg County Office On Aging,26,0,,,,,,,,,,,,,,,,,,,
Banks County Transit,3,0,,,,,,,,,,,,,,,,,,,
"Barbour Co. Senior Center , dba: Here & There Transit",24,0,,,,,,,,,,,,,,,,,,,
Barry County Transit,16,0,,,,,,,,,,,,,,,,,,,
"Bartow County , dba: Bartow County Transit",12,0,108901.0,470.0,2553.04,,,,,,,,,,,,,,,,
Basin Transit Association,14,0,,,,,,,,,,,,,,,,,,,
"Basin Transit Service, dba: Basin Transit Service Transportation District",20,0,,,,,,,,,,,,,,,,,,,
Bay Area Rural Transit Commission,17,0,,,,,,,,,,,,,,,,,,,
Bay Area Transportation Authority,152,0,,,52.42,,,,,,,,,,,,,,,,
"Bay County Transportation Planning Organization, dba: Bayway",52,846452,179168.0,758.0,119.47,91516.0,57503.0,0.0,0.0,0.0,0.0,0.0,0.0,149019.0,0.0,,,,,,
Bay Metropolitan Transit Authority,100,1082770,103856.0,442.0,39.93,148508.0,0.0,13162.0,0.0,0.0,0.0,0.0,0.0,161670.0,0.0,50029.0,Bay City,MI,"Bay City, MI",,79.2
Bay Mills Indian Community,1,0,,,0.0,,,,,,,,,,,,,,,,
"Bay State LLC, dba: Bay State Cruise Company",3,56980,221049.0,277.0,1655.89,276933.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276933.0,0.0,11238.0,Boston,MA,"Boston, MA--NH",,20.5
Bay Transit,40,0,,,,,,,,,,,,,,,,,,,
"Beaufort County Developmental Center, Inc.",13,0,,,,,,,,,,,,,,,,,,,
Beaver County Transit Authority,60,1171652,168215.0,440.0,906.64,36072.0,70879.0,0.0,131916.0,0.0,0.0,0.0,0.0,238867.0,0.0,30023.0,Rochester,PA,"Pittsburgh, PA",,72.1
Becker County Transit,5,0,,,,,,,,,,,,,,,,,,,
Belding-Dial-A-Ride,5,0,,,,,,,,,,,,,,,,,,,
Belknap-Merrimack CAP/Concord Area Transit,24,0,,,0.0,,,,,,,,,,,,,,,,
Ben Franklin Transit,1072,8174668,307750.0,616.0,112.21,678312.0,368844.0,0.0,0.0,0.0,0.0,0.0,0.0,1047156.0,0.0,18.0,Richland,WA,"Kennewick--Richland--Pasco, WA",,360.98
Ben Hill,5,0,,,,,,,,,,,,,,,,,,,
Benson County Transportation,2,0,,,,,,,,,,,,,,,,,,,
"Bent County, dba: Bent County Transit",10,0,,,,,,,,,,,,,,,,,,,
"Benton County, dba: Benton Area Transit",30,0,96017.0,679.0,17.45,,,,,,,,,,,,,,,,
Benzie Transportation Authority,20,0,,,,,,,,,,,,,,,,,,,
"Bergen County, dba: Bergen County Community Transportation",94,625828,955732.0,247.0,3248.12,0.0,88760.0,0.0,0.0,0.0,0.0,0.0,0.0,88760.0,0.0,20192.0,Hackensack,NJ,"New York--Jersey City--Newark, NY--NJ",,86.0
"Berkeley Charleston Dorchester RTMA, dba: TriCounty Link",22,0,264203.0,2800.0,339.06,,,,,,,,,,,,,,,,
