Agency,NTD ID,City,State,UZA Name,Total Operating Hours,Total Employees,Number of Operating Fleets,Ridership,Service Area Population,Service Area Sq Miles,Primary UZA Area Sq Miles,Diesel (gal),Gasoline (gal),Liquefied Petroleum Gas (gal),Compressed Natural Gas (gal),Bio Diesel (gal),Other Fuel (gal/gal equivalent),Electric Propulsion (kWh),Electric Battery (kWh),Total Diesel (gal),Total kWh
MTA New York City Transit,20008,Brooklyn,NY,"New York--Jersey City--Newark, NY--NJ",,,50095.0,491106831.0,8804190.0,321.0,3248.12,27958302.0,3570980.0,0.0,4824913.0,0.0,0.0,1552447460.0,618599.0,36354195.0,1553066059.0
New Jersey Transit Corporation,20080,Newark,NJ,"New York--Jersey City--Newark, NY--NJ",,,26312.0,187806013.0,10594013.0,5325.0,3248.12,35585247.0,1805901.0,0.0,1257636.0,0.0,0.0,380816628.0,0.0,38648784.0,380816628.0
Washington Metropolitan Area Transit Authority,30030,Washington,DC,"Washington--Arlington, DC--VA--MD",,,11228.0,122883834.0,5089918.0,1349.0,1294.51,7351971.0,1812002.0,0.0,3965272.0,0.0,0.0,438160464.0,17194.0,13129245.0,438177658.0
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",90154,Los Angeles,CA,"Los Angeles--Long Beach--Anaheim, CA",,,17563.0,110932715.0,10394849.0,4099.0,1636.83,0.0,977648.0,0.0,26998561.0,0.0,0.0,187734358.0,3635843.0,27976209.0,191370201.0
Chicago Transit Authority,50066,Chicago,IL,"Chicago, IL--IN",,,4360.0,115480485.0,3207635.0,310.0,2337.89,13403932.0,0.0,0.0,0.0,0.0,0.0,373727434.0,302556.0,13403932.0,374029990.0
Southeastern Pennsylvania Transportation Authority,30019,Philadelphia,PA,"Philadelphia, PA--NJ--DE--MD",,,13734.0,84803334.0,3475337.0,844.0,1898.19,10583882.0,782842.0,0.0,0.0,0.0,0.0,326147560.0,0.0,11366724.0,326147560.0
Massachusetts Bay Transportation Authority,10003,Boston,MA,"Boston, MA--NH",,,18162.0,89707746.0,3109308.0,3244.0,1655.89,19729538.0,1098290.0,0.0,1425801.0,0.0,0.0,209830786.0,192166.0,22253629.0,210022952.0
"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",20078,New York,NY,"New York--Jersey City--Newark, NY--NJ",,,3447.0,70431898.0,6503894.0,527.0,3248.12,7117284.0,0.0,0.0,0.0,0.0,0.0,388728660.0,0.0,7117284.0,388728660.0
MTA Long Island Rail Road,20100,Jamaica,NY,"New York--Jersey City--Newark, NY--NJ",,,908.0,69934140.0,11170342.0,2967.0,3248.12,7310132.0,0.0,0.0,0.0,0.0,0.0,475664400.0,0.0,7310132.0,475664400.0
MTA Bus Company,20188,New York,NY,"New York--Jersey City--Newark, NY--NJ",,,1134.0,35877613.0,7706403.0,244.0,3248.12,9476906.0,0.0,0.0,1147229.0,0.0,0.0,0.0,0.0,10624135.0,0.0
Metropolitan Atlanta Rapid Transit Authority,40022,Atlanta,GA,"Atlanta, GA",,,4060.0,52954911.0,2128687.0,949.0,2553.04,1849221.0,1341057.0,0.0,4357955.0,0.0,0.0,78232957.0,26212.0,7548233.0,78259169.0
"City and County of San Francisco, dba: San Francisco Municipal Transportation Agency",90015,San Francisco,CA,"San Francisco--Oakland, CA",,,4512.0,23732735.0,842754.0,49.0,513.8,3509051.0,216967.0,0.0,0.0,0.0,0.0,87343650.0,35385.0,3726018.0,87379035.0
"King County Department of Metro Transit, dba: King County Metro",1,Seattle,WA,"Seattle--Tacoma, WA",,,18261.0,51015415.0,2287050.0,2134.0,982.52,7309433.0,1094394.0,274670.0,0.0,575390.0,0.0,16807624.0,970902.0,9253887.0,17778526.0
"Metropolitan Transit Authority of Harris County, Texas",60008,Houston,TX,"Houston, TX",,,10624.0,67451697.0,3757692.0,1309.0,1752.69,9097510.0,2409822.0,0.0,2154980.0,0.0,0.0,21545505.0,0.0,13662312.0,21545505.0
Dallas Area Rapid Transit,60056,Dallas,TX,"Dallas--Fort Worth--Arlington, TX",,,5600.0,44402654.0,2530800.0,698.0,1746.9,1460507.0,3518.0,0.0,7851380.0,0.0,0.0,117051226.0,250496.0,9315405.0,117301722.0
Metro Transit,50027,Minneapolis,MN,"Minneapolis--St. Paul, MN",,,1521.0,26267901.0,1731667.0,492.0,1014.79,147088.0,0.0,0.0,0.0,4185563.0,0.0,29732225.0,533094.0,4332651.0,30265319.0
San Francisco Bay Area Rapid Transit District,90003,Oakland,CA,"San Francisco--Oakland, CA",,,2320.0,81330845.0,867725.0,80.0,513.8,,,,,,,,,,
"County of Miami-Dade , dba: Transportation & Public Work",40034,Miami,FL,"Miami--Fort Lauderdale, FL",,,9373.0,60878000.0,2701767.0,306.0,1244.18,1874879.0,1516487.0,0.0,7080880.0,0.0,0.0,75860587.0,0.0,10472246.0,75860587.0
