Agency,NTD ID,Operating Federal,Operating State,Operating Local,Operating Other,Capital Federal,Capital State,Capital Local,Capital Other,Number of Operating Fleets,Ridership,Total OE,OpExp VO,OpExp VM,OpExp NVM,OpExp GA,FARES,DRM,VRM,VRH,UPT,PMT,Days of Service Operated,Days Not Operated Due to Emergencies,Non-Statutory Mixed Traffic,DRM Mixed Traffic ROW,City,State,Cluster
"King County Department of Metro Transit, dba: King County Metro",1,126313019.0,17798927.0,573912810.0,266339342.0,35398236.0,22300662.0,97008549.0,9939102.0,18261.0,51015415.0,846712438.0,451370915.0,141511449.0,53402066.0,200428008.0,110193783.0,1723.79,44527766.0,3902037.0,66445408.0,255184734.0,2896.0,0.0,0.0,1299.03,Seattle,WA,2
Spokane Transit Authority,2,31270192.0,1708713.0,51822996.0,9554657.0,12159213.0,674190.0,27455824.0,0.0,1116.0,10296150.0,93981860.0,55898294.0,13548065.0,5417445.0,19118056.0,6914112.0,958.1,9410066.0,620938.0,6995911.0,33388468.0,1349.0,0.0,0.0,958.1,Spokane,WA,23
Pierce County Transportation Benefit Area Authority,3,40262064.0,2058990.0,37023952.0,63377478.0,3949421.0,5183835.0,36622271.0,0.0,1910.0,9841274.0,93071541.0,51294568.0,12582509.0,2911552.0,26282912.0,10830732.0,516.68,8973273.0,585032.0,5548156.0,33831615.0,1350.0,0.0,0.0,499.74,Lakewood,WA,20
Confederated Tribes of the Colville Indian Reservation,4,1490917.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1451717.0,0.0,0.0,0.0,0.0,0.0,0.0,76622.0,7290.0,135939.0,0.0,0.0,0.0,0.0,0.0,Nespelem,WA,0
"City of Everett, dba: EVERETT TRANSIT",5,12787325.0,993691.0,6623445.0,3385223.0,179716.0,224413.0,540939.0,0.0,84.0,1625002.0,23757649.0,13065194.0,3060828.0,1253222.0,6378405.0,810229.0,118.4,1446138.0,120693.0,1072281.0,4141886.0,722.0,0.0,0.0,118.4,Everett,WA,21
"City of Yakima, dba: Yakima Transit",6,3838183.0,175640.0,5474725.0,783780.0,95466.0,0.0,5850680.0,0.0,132.0,1153763.0,10125952.0,6054489.0,1107365.0,213032.0,2751066.0,571267.0,173.0,1115063.0,92801.0,513484.0,2659420.0,966.0,0.0,0.0,173.0,Yakima,WA,21
Lane Transit District,7,18768831.0,1827330.0,26967187.0,15056715.0,268218.0,3831151.0,2247752.0,0.0,720.0,3808421.0,57471833.0,32963357.0,7531318.0,2777960.0,14199198.0,14582360.0,667.72,5510472.0,359809.0,5296214.0,19511877.0,1972.0,0.0,0.0,639.7,Eugene,OR,20
Tri-County Metropolitan Transportation District of Oregon,8,243694016.0,50996191.0,225381730.0,77738217.0,99908523.0,9213909.0,123496244.0,0.0,4518.0,36072191.0,506016010.0,261788279.0,90063131.0,45579158.0,108585442.0,55003121.0,1501.64,32435991.0,2712704.0,49615343.0,201423986.0,1716.0,0.0,0.0,1345.9,Portland,OR,2
Kalispel Tribe of Indians,9,276489.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,276489.0,0.0,0.0,0.0,0.0,0.0,0.0,25943.0,788.0,1208.0,0.0,0.0,0.0,0.0,0.0,Cusick,WA,0
Klamath Tribes,10,556286.0,244999.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,801285.0,0.0,0.0,0.0,0.0,0.0,0.0,160978.0,6590.0,8491.0,0.0,0.0,0.0,0.0,0.0,Chiloquin,OR,0
